Location,TSUM_0,TSUM_1,TSUM_2,TSUM_3,TSUM_4,TSUM_5,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd,OrganGrowthRespiration_0,OrganGrowthRespiration_1,OrganGrowthRespiration_2,OrganGrowthRespiration_3,OrganMaintenanceRespiration_0,OrganMaintenanceRespiration_1,OrganMaintenanceRespiration_2,OrganMaintenanceRespiration_3,MaxAssimilationRate
100_98,180,423.3747879,566.4873923,165.9113336,387.126445,23.0432408,921.8836931,1155.773514,1,1542.899959,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_99,180,352.3310926,471.4289268,154.9405933,361.528051,21.51952686,767.1885482,978.7006127,1,1340.228664,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_100,180,431.0892876,576.8096102,182.0767305,424.8457044,25.28843481,938.6817446,1189.975628,1,1614.821333,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_101,180,416.5780416,557.3931543,242.9421157,566.8649366,33.74196054,907.0840174,1216.913312,1,1783.778248,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_102,180,584.021193,781.4368076,160.9751029,375.6085734,22.3576532,1271.685584,1526.433104,1,1902.041677,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_103,180,544.9240816,729.1237712,171.2720055,399.6346794,23.78777856,1186.553,1445.319858,1,1844.954538,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_104,180,532.3478007,712.2963531,140.5217355,327.8840495,19.51690772,1159.168591,1385.165889,1,1713.049939,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_105,180,577.0801218,772.1494588,131.933226,307.844194,18.32405918,1256.571646,1481.162807,1,1789.007001,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_106,180,557.0254522,745.3157459,161.5095311,376.8555725,22.43187934,1212.903309,1463.850729,1,1840.706302,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_107,180,515.514402,689.7727914,145.0202199,338.3805131,20.14169722,1122.514458,1350.307413,1,1688.687926,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_108,180,490.772682,656.6676732,176.2703253,411.2974256,24.48198964,1068.640234,1323.710681,1,1735.008106,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_109,180,536.6059974,717.9939403,150.1169417,350.2728639,20.84957525,1168.440665,1404.716879,1,1754.989743,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_110,180,525.3844068,702.9791359,158.241722,369.2306846,21.97801696,1144.006046,1386.605265,1,1755.835949,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_111,180,538.4211187,720.4226236,175.2445941,408.9040528,24.33952698,1172.393027,1434.088336,1,1842.992389,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_112,150.5507112,288.8946081,386.5491235,206.1212739,480.949639,28.62795473,629.0578367,881.5650055,1,1362.514645,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_113,171.4052328,328.9127443,440.094517,160.7589842,375.1042964,22.32763671,716.1959192,929.7662455,1,1304.870542,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_114,180,384.1492852,514.0025648,182.2832933,425.3276843,25.31712409,836.4715423,1080.435143,1,1505.762828,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_115,180,378.0316695,505.8170226,167.0925441,389.8826028,23.20729781,823.1506494,1050.941236,1,1440.823839,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_116,180,370.1712736,495.2995915,176.6365837,412.1520286,24.53285887,806.0349141,1042.107449,1,1454.259477,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_117,180,388.4519454,519.7596453,164.9725739,384.9360057,22.9128575,845.8404333,1073.184165,1,1458.12017,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_118,180,401.3751519,537.0512596,132.0342474,308.0799106,18.33808993,873.9802603,1070.460659,1,1378.540569,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_119,136.8883811,262.6777043,351.4701678,173.7187099,405.3436564,24.12759862,571.971452,787.866582,1,1193.210238,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_120,180,358.5712796,479.7784727,156.5147193,365.2010116,21.73815548,780.7763355,994.8644716,1,1360.065483,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_121,180,394.5317154,527.8945488,166.9687962,389.5938577,23.1901106,859.0789183,1089.39506,1,1478.988918,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_122,180,381.1175758,509.9460522,200.1391157,466.9912699,27.79709943,829.8701018,1091.202744,1,1558.194014,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_123,157.3584738,301.9581526,404.0285141,165.4259681,385.9939255,22.97582892,657.503245,871.4126348,1,1257.40656,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_124,152.4316189,292.5039174,391.3784811,177.5719367,414.3345189,24.66276901,636.9169808,861.4543352,1,1275.788854,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_125,134.78238,258.636459,346.0628677,227.7317491,531.3740812,31.62940962,563.1717826,832.4310758,1,1363.805157,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_126,135.286226,259.6032987,347.3565265,211.7246799,494.024253,29.40620557,565.2770421,818.6845051,1,1312.708758,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_127,129.0127495,247.565006,331.2489517,165.0141617,385.0330439,22.91863359,539.0640835,743.8281194,1,1128.861163,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_128,147.1934252,282.4522485,377.9290649,187.9233312,438.4877727,26.10046269,615.0298256,848.3046446,1,1286.792417,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_129,180,347.0324054,464.339134,181.9055006,424.446168,25.26465288,755.6508433,993.27704,1,1417.723208,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_130,179.842316,345.1028227,461.757298,155.8465712,363.6419994,21.64535713,751.4492449,962.7066919,1,1326.348691,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_131,180,389.3858545,521.009242,194.2644286,453.2836667,26.98117066,847.8739875,1104.659525,1,1557.943192,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_132,180,360.9110648,482.9091713,225.6775458,526.5809401,31.34410361,785.8711356,1069.497782,1,1596.078722,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
