Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
101_133,180,369.0965836,493.861626,174.3655933,406.853051,24.21744354,803.6948146,1037.323803,1,1444.176854
101_134,180,346.2425673,463.2823083,188.3448351,439.4712819,26.1590049,753.9309986,997.8697107,1,1437.340993
101_135,172.675791,331.3508424,443.356761,174.786487,407.8351364,24.275901,721.5047922,949.4940905,1,1357.329227
101_136,166.0302249,318.5985398,426.2938209,125.9491592,293.8813713,17.49293878,693.7371021,870.8415198,1,1164.722891
101_137,159.1629249,305.420748,408.6615642,217.4871546,507.4700273,30.20654927,665.0429245,931.5694668,1,1439.039494
101_138,173.374402,332.6914203,445.150492,157.3124273,367.0623303,21.84894825,724.4238532,935.1543395,1,1302.21667
101_139,175.3048457,336.3957852,450.1070365,194.5282833,453.8993277,27.01781715,732.4899773,981.031105,1,1434.930433
101_140,180,364.1989407,487.3084419,206.0686236,480.8267883,28.62064219,793.0303696,1057.576006,1,1538.402795
101_141,180,354.2250885,473.9631467,196.9549329,459.5615101,27.35485182,771.3126576,1025.143168,1,1484.704678
101_142,180,347.7557331,465.3069668,245.2277393,572.1980583,34.05940826,757.2258638,1058.290439,1,1630.488497
101_143,180,355.7995966,476.0698828,198.7394614,463.7254099,27.602703,774.7410934,1030.608941,1,1494.334351
101_144,180,362.4069136,484.9106591,169.2683464,394.9594748,23.50949257,789.1282937,1016.585919,1,1411.545394
101_145,175.4048932,336.5877683,450.3639153,195.9622447,457.2452376,27.21697845,732.9080137,982.9139283,1,1440.159166
101_146,173.5905092,333.1061124,445.7053617,189.4234858,441.9881336,26.3088175,725.3268307,968.23496,1,1410.223094
101_147,174.1797669,334.2368501,447.2183206,201.0959865,469.2239683,27.92999814,727.7889722,982.5511572,1,1451.775126
101_85,180,409.4601828,547.8692588,148.8082705,347.2192979,20.66781537,891.5851305,1106.137712,1,1453.35701
101_86,180,353.0701215,472.4177683,189.0338884,441.0790728,26.25470674,768.7977577,1014.521778,1,1455.600851
101_87,180,367.1351214,491.2371343,192.3598013,448.8395362,26.71663909,799.4237996,1050.732057,1,1499.571593
101_88,180,386.4288413,517.052675,196.7510971,459.0858932,27.32654129,841.4351953,1100.232613,1,1559.318507
101_89,180,408.8461057,547.0476062,194.6375695,454.1543288,27.03299579,890.2479991,1150.531281,1,1604.68561
101_90,180,395.3329598,528.9666364,196.8403054,459.2940459,27.33893133,860.8235998,1121.139902,1,1580.433948
101_91,180,390.3580848,522.3101135,193.9911256,452.6459597,26.94321191,849.9909847,1106.659324,1,1559.305284
101_92,180,398.6763726,533.4402169,186.6837616,435.5954436,25.92830024,868.1037634,1118.800351,1,1554.395795
101_93,180,381.3123104,510.2066125,208.5117378,486.5273881,28.95996361,830.2941294,1100.030661,1,1586.558049
101_94,180,392.8718631,525.6736196,178.1670962,415.7232243,24.74543004,855.4646483,1096.712579,1,1512.435803
101_95,180,398.2456095,532.8638437,218.6085392,510.0865914,30.36229713,867.1657919,1149.717992,1,1659.804584
101_96,180,398.2581723,532.8806531,195.665223,456.552187,27.17572544,867.193147,1126.804048,1,1583.356235
101_97,180,421.215753,563.5985428,188.9767986,440.9458634,26.24677761,917.1824706,1173.791094,1,1614.736958
101_98,180,450.8280878,603.2206808,193.8672827,452.3569928,26.9260115,981.6622869,1247.916051,1,1700.273044
101_99,180,445.3001216,595.8241065,197.9852483,461.9655792,27.49795117,969.6253353,1239.109476,1,1701.075056
102_100,180,410.4757984,549.228181,209.8144991,489.5671645,29.14090268,893.7965976,1169.518478,1,1659.085643
102_101,180,421.0584207,563.3880278,210.2291397,490.5346593,29.19849165,916.8398852,1194.675588,1,1685.210248
102_102,180,561.8479051,751.7683237,152.277924,355.315156,21.14971169,1223.40403,1465.894153,1,1821.209309
102_103,180,523.3349013,700.2368399,150.7333004,351.7110342,20.93518063,1139.54332,1374.305042,1,1726.016076
102_104,180,521.8015984,698.1852374,152.8880913,356.7388797,21.23445715,1136.204607,1372.874927,1,1729.613807
102_105,180,484.9684295,648.9014198,133.7826709,312.1595653,18.58092653,1056.001679,1267.65252,1,1579.812085
102_106,180,523.5434845,700.51593,144.4516612,337.0538761,20.06273074,1139.997503,1368.511076,1,1705.564952
102_107,180,551.156297,737.4626509,192.4512619,449.0529444,26.72934196,1200.12343,1481.07021,1,1930.123154
102_108,180,582.2271508,779.0363286,147.8069541,344.882893,20.52874365,1267.77912,1509.070434,1,1853.953326
102_109,180,553.8217259,741.0290699,137.5407547,320.9284277,19.10288262,1205.927307,1432.391551,1,1753.319978
102_110,180,528.8467614,707.6118639,162.000399,378.000931,22.50005544,1151.545202,1398.459024,1,1776.459955
102_111,180,542.1895081,725.4648349,109.1920738,254.7815054,15.16556581,1180.598563,1376.846417,1,1631.627922
102_112,180,379.0832729,507.2240976,195.5360646,456.2508173,27.15778677,825.4404788,1081.843435,1,1538.094252
102_113,180,383.8721082,513.6316941,172.478356,402.4494972,23.95532724,835.867999,1069.982158,1,1472.431655
102_114,180,390.6111785,522.64876,190.3848588,444.2313371,26.44234152,850.5420873,1103.644797,1,1547.876134
102_115,180,394.3507741,527.6524443,194.7847569,454.497766,27.05343848,858.6849251,1116.787975,1,1571.285741
102_116,180,409.3310385,547.69646,163.3135717,381.0650005,22.68244053,891.3039232,1120.34107,1,1501.406071
102_117,180,383.045272,512.525364,178.3100205,416.0567144,24.76528064,834.0675923,1073.880657,1,1489.937371
102_118,180,368.9807636,493.7066555,184.2973822,430.027225,25.59685866,803.4426204,1046.984801,1,1477.012026
102_119,180,419.6117024,561.4522779,181.7831139,424.1605991,25.24765473,913.6897069,1162.847094,1,1587.007693
102_120,180,374.7636914,501.4443759,171.6741675,400.5730574,23.84363439,816.0347422,1047.882235,1,1448.455292
102_121,180,369.6732074,494.6331649,200.5788951,468.0174218,27.8581799,804.9503925,1064.885267,1,1532.902689
102_122,180,367.3847674,491.5711677,172.6375874,402.8210373,23.97744272,799.967395,1031.593523,1,1434.41456
102_123,180,356.8373682,477.4584504,177.5044541,414.1770595,24.65339642,777.0008046,1011.800273,1,1425.977332
102_124,132.0577595,253.4081333,339.0672206,219.5445247,512.2705576,30.49229513,551.7872875,812.0198787,1,1324.290436
102_125,148.3101358,284.5951257,380.796295,177.3108812,413.7253894,24.6265113,619.6958652,842.7023018,1,1256.427691
102_126,118.5830554,227.5512686,304.4700073,207.1658175,483.3869074,28.77303023,495.484875,739.1870933,1,1222.574001
102_127,152.7778467,293.1683005,392.2674443,177.1177124,413.2746622,24.5996823,638.3636515,862.5534572,1,1275.828119
