Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6, TSUM7,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,CriticalTemperatureHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
101_101,80.62436973,336.7253085,225.2739742,296.4131236,219.6571706,439.3143411,27.45714632,822.8428314,1078.069577,35,1,1517.383918
101_102,67.22808822,280.7761328,187.8431876,247.1620887,243.234145,486.46829,30.40426813,686.1219584,959.0155541,35,1,1445.483844
101_103,62.68649951,261.8083212,175.1534544,230.4650714,212.9889526,425.9779053,26.62361908,639.7710385,880.4157997,35,1,1306.393705
101_104,57.20913992,238.93229,159.8490674,210.32772,237.9674182,475.9348365,29.74592728,583.869751,847.0764956,35,1,1323.011332
101_105,66.31253697,276.9523599,185.2850297,243.7960915,182.432983,364.865966,22.80412288,676.7779501,888.4664641,35,1,1253.33243
101_106,64.09427245,267.6878434,179.0869376,235.6407072,207.5670343,415.1340687,25.94587929,654.1386034,889.9825226,35,1,1305.116591
101_107,64.28684429,268.4921141,179.625006,236.3486919,188.7972899,377.5945799,23.59966124,656.103969,873.263102,35,1,1250.857682
101_108,61.38229286,256.3613405,171.5093476,225.670194,194.864561,389.729122,24.35807012,626.4604588,848.4054431,35,1,1238.134565
101_109,59.34718876,247.8617881,165.8230274,218.1881937,184.3420157,368.6840313,23.04275196,605.6904259,816.2150248,35,1,1184.899056
101_110,62.35143318,260.4089265,174.2172397,229.2332099,182.6978376,365.3956752,22.8372297,636.3513909,846.5572137,35,1,1211.952889
101_111,66.06693835,275.9266245,184.5987982,242.8931554,194.5065451,389.0130903,24.31331814,674.2713995,897.9251233,35,1,1286.938214
101_112,62.24306684,259.9563377,173.9144514,228.8348043,186.9537699,373.9075398,23.36922124,635.2454168,849.6593632,35,1,1223.566903
101_113,58.18088352,242.9907485,162.5642333,213.9003068,188.2076588,376.4153176,23.52595735,593.7872518,807.6629474,35,1,1184.078265
101_114,59.47812546,248.4086413,166.1888799,218.6695786,206.9209916,413.8419832,25.86512395,607.0267504,840.1880914,35,1,1254.030075
101_115,60.64169786,253.2682672,169.4400381,222.9474183,191.3433979,382.6867959,23.91792474,618.9020334,836.9991216,35,1,1219.685917
101_116,59.51302218,248.5543865,166.2863854,218.7978754,228.4766063,456.9532126,28.55957579,607.3829022,862.1152536,35,1,1319.068466
101_117,60.14499044,251.1937833,168.0521791,221.1212881,207.9465818,415.8931637,25.99332273,613.8326959,848.3138323,35,1,1264.206996
101_118,59.69240246,249.3035629,166.787595,219.4573617,154.0135728,308.0271456,19.2516966,609.2136363,789.5620925,35,1,1097.589238
101_119,57.54578716,240.3382873,160.7896994,211.5653937,171.3515611,342.7031223,21.41894514,587.3055331,784.0449415,35,1,1126.748064
101_120,57.77250629,241.2851731,161.4231793,212.3989199,163.8159578,327.6319157,20.47699473,589.6194018,778.9232301,35,1,1106.555146
101_121,61.79213825,258.0730477,172.6545039,227.1769786,231.3091031,462.6182062,28.91363789,630.6432927,889.2136332,35,1,1351.831839
101_122,65.73904538,274.5571892,183.6826267,241.6876665,209.4522528,418.9045055,26.1815316,670.9249624,909.3797352,35,1,1328.284241
101_123,64.5198683,269.465332,180.2761025,237.2053978,159.5393184,319.0786367,19.94241479,658.4821846,846.4861507,35,1,1165.564787
101_124,63.21634885,264.0212214,176.6339158,232.4130469,207.3411282,414.6822565,25.91764103,645.1786185,880.4093124,35,1,1295.091569
101_125,62.51707792,261.1007369,174.6800706,229.8421979,162.9054687,325.8109375,20.36318359,638.0419417,828.5284741,35,1,1154.339412
101_126,57.72122549,241.0710003,161.2798947,212.2103875,145.0157448,290.0314897,18.1269681,589.096036,759.5770273,35,1,1049.608517
101_127,54.68339964,228.38361,152.7918519,201.0419102,101.0878382,202.1756764,12.63597978,558.0923428,683.3052102,35,1,885.4808866
101_128,60.47084055,252.5546867,168.9626426,222.3192664,187.9934255,375.9868511,23.49917819,617.1582838,831.8300213,35,1,1207.816872
101_129,57.58830972,240.5158815,160.9085124,211.7217266,79.38300551,158.766011,9.922875689,587.7395133,692.529126,35,1,851.295137
101_130,62.68179563,261.7886756,175.1403113,230.4477778,192.7904459,385.5808917,24.09880573,639.7230312,860.1672104,35,1,1245.748102
101_131,64.50637545,269.4089795,180.2384019,237.1557918,211.7390096,423.4780193,26.4673762,658.3444781,898.5421828,35,1,1322.020202
101_132,64.21907902,268.2090944,179.4356619,236.0995549,178.435705,356.87141,22.30446313,655.4123646,862.1800162,35,1,1219.051426
101_133,62.49455097,261.0066538,174.6171276,229.7593783,206.3203357,412.6406713,25.79004196,637.8120343,871.7034953,35,1,1284.344167
101_134,67.48540408,281.8508049,188.5621584,248.1081029,192.2969354,384.5938708,24.03711692,688.7480939,910.8180016,35,1,1295.411872
101_135,62.52005696,261.1131788,174.6883944,229.8531503,185.4550231,370.9100463,23.18187789,638.0723454,851.1097466,35,1,1222.019793
101_136,62.445539,260.8019567,174.4801824,229.5791872,206.8170667,413.6341334,25.85213334,637.3118238,871.678393,35,1,1285.312526
101_137,59.75943202,249.5835099,166.9748835,219.7037939,205.2963779,410.5927558,25.66204723,609.8977321,841.5585652,35,1,1252.151321
101_138,62.12689649,259.4711556,173.5898578,228.4077074,154.1773244,308.3546488,19.27216555,634.0597959,815.6460452,35,1,1124.000694
101_139,64.23835911,268.2896172,179.4895327,236.1704376,181.7856391,363.5712783,22.72320489,655.609135,865.7352266,35,1,1229.306505
101_140,66.60318092,278.1662259,186.0971231,244.8646354,233.0399291,466.0798581,29.12999113,679.7442281,942.1679134,35,1,1408.247772
101_141,66.40427882,277.3355171,185.5413672,244.1333777,223.7876616,447.5753232,27.9734577,677.7142567,930.7979237,35,1,1378.373247
101_142,68.83729806,287.4969504,192.3395092,253.0783014,204.4674817,408.9349633,25.55843521,702.5453648,937.3822427,35,1,1346.317206
101_143,64.98058322,271.3894943,181.5633942,238.8992027,183.873684,367.7473679,22.9842105,663.1841869,875.7257752,35,1,1243.473143
101_144,61.83975333,258.2719107,172.787546,227.352034,253.3707358,506.7414716,31.67134198,631.1292466,911.7822265,35,1,1418.523698
101_145,67.09119856,280.2044172,187.4607018,246.6588179,163.9466889,327.8933778,20.49333611,684.7248787,878.2706258,35,1,1206.164004
101_146,67.39004135,281.4525253,188.2957037,247.7575046,214.8604366,429.7208733,26.85755458,687.774833,932.3661702,35,1,1362.087044
101_147,63.19321544,263.9246053,176.5692783,232.3279976,185.4441912,370.8883824,23.1805239,644.9425216,858.2660725,35,1,1229.154455
101_85,66.60457813,278.1720613,186.101027,244.8697722,208.4362683,416.8725365,26.05453353,679.7584878,917.5791288,35,1,1334.451665
101_86,63.11808462,263.6108237,176.359354,232.0517814,212.50486,425.00972,26.5631075,644.1757453,884.5268191,35,1,1309.536539
101_87,65.40667824,273.1690676,182.7539538,240.4657285,189.1115748,378.2231496,23.63894685,667.5328625,885.5003248,35,1,1263.723474
101_88,68.75851159,287.167901,192.1193705,252.7886452,212.8860891,425.7721781,26.61076113,701.7412794,944.9620059,35,1,1370.734184
101_89,73.83294108,308.3611065,206.2979235,271.444636,238.8422339,477.6844677,29.85527923,753.5303097,1024.9459,35,1,1502.630368
101_90,72.18181198,301.4652144,201.6844745,265.3743084,232.0074208,464.0148416,29.0009276,736.6790803,1000.531418,35,1,1464.54626
101_91,73.68873196,307.7588214,205.8949863,270.9144554,213.8261022,427.6522043,26.72826277,752.0585284,998.3943652,35,1,1426.046569
101_92,72.44031034,302.5448252,202.4067494,266.32467,200.509551,401.0191019,25.06369387,739.3172842,971.7857956,35,1,1372.804897
101_93,75.99300552,317.3825521,212.3333977,279.3860493,205.9728802,411.9457604,25.74661003,775.5756732,1015.074879,35,1,1427.02064
101_94,71.99646283,300.6911091,201.1665872,264.6928777,163.851054,327.702108,20.48138175,734.7874287,930.401628,35,1,1258.103736
101_95,72.64951769,303.4185735,202.9912993,267.0938147,208.9458474,417.8916947,26.11823092,741.4524298,982.4495349,35,1,1400.34123
101_96,72.43412455,302.5189904,202.3894656,266.3019281,220.3489592,440.6979184,27.5436199,739.2541527,991.5593433,35,1,1432.257262
101_97,65.6787204,274.3052437,183.5140716,241.4658835,214.9526693,429.9053386,26.86908366,670.3092928,914.2378681,35,1,1344.143207
101_98,64.70408708,270.2347163,180.7908315,237.8826728,264.8721309,529.7442619,33.10901637,660.3622998,953.7803515,35,1,1483.524613
101_99,66.28014934,276.817094,185.1945348,243.6770193,240.4966467,480.9932934,30.06208084,676.4474058,946.1852949,35,1,1427.178588
102_100,77.74390616,324.6951371,217.2256201,285.823184,203.5309432,407.0618864,25.4413679,793.4451591,1031.274884,35,1,1438.336771
102_101,78.62910931,328.392162,219.6989818,289.0776074,169.7937756,339.5875512,21.22422195,802.4794383,1006.962527,35,1,1346.550078
102_102,66.40024086,277.3186527,185.5300847,244.1185323,179.9890574,359.9781149,22.49863218,677.6730458,886.9563271,35,1,1246.934442
102_103,60.65520818,253.3246927,169.4777875,222.9970886,218.6065327,437.2130655,27.32581659,619.0399181,864.4061015,35,1,1301.619167
102_104,60.43429094,252.4020383,168.8605187,222.1848928,167.3065106,334.6130211,20.91331382,616.7852627,810.7539604,35,1,1145.366982
